Review section,Disease,Target gene,Action,Effector construct,Nucleic acids binding protein,Type of delivery ,Organism,References,DOI link,Graph. abstract link
3.4. Hereditary Disorders: Recessive Autosomal,Friedreich's ataxia,FXN,activation,VP64,TALE,AAV9 intraperitoneal injection,YG8R mice,"Chapdelaine, P., Gérard, C., Sanchez, N. et al. Development of an AAV9 coding for a 3XFLAG-TALE-VP64 able to increase in vivo the human frataxin in YG8R mice. (2016)",https://doi.org/10.1038/gt.2016.36,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fgt.2016.36/MediaObjects/41434_2016_Article_BFgt201636_Fig1_HTML.jpg?
3.4. Hereditary Disorders: Recessive Autosomal,Congenital muscular dystrophy type 1A (MDC1A),Lama2,activation,2×VP64,SadCas9,AAV9-injection,dy2j/dy2j  mice ,"Kemaladewi, D.U., Bassi, P.S., Erwood, S. et al. A mutation-independent approach for muscular dystrophy via upregulation of a modifier gene. (2019)",https://doi.org/10.1038/s41586-019-1430-x,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41586-019-1430-x/MediaObjects/41586_2019_1430_Fig1_HTML.png?
3.4. Hereditary Disorders: Recessive Autosomal,β-thalassemia and sickle cell disease (SCD),HbF,activation,VP64,ZF,Transfection,K562,"Gräslund T, Li X, Magnenat L, Popkov M, Barbas CF 3rd. Exploring strategies for the design of artificial transcription factors: targeting sites proximal to known regulatory regions for the induction of gamma-globin expression and the treatment of sickle cell disease. (2005)",https://doi.org/10.1074/jbc.M406809200,https://www.jbc.org/cms/10.1074/jbc.M406809200/asset/65d59405-8f3a-4572-95f3-9e04cb267b43/main.assets/gr1_lrg.jpg
3.4. Hereditary Disorders: Recessive Autosomal,β-thalassemia and sickle cell disease (SCD),HbF,activation,VP64,ZF,Lentiviral transduction,CD34+ cells,"Andrew W., Ulrich T., et al. A zinc-finger transcriptional activator designed to interact with the γ-globin gene promoters enhances fetal hemoglobin production in primary human adult erythroblasts. (2010)",https://doi.org/10.1182/blood-2009-08-240556,https://ash.silverchair-cdn.com/ash/content_public/journal/blood/115/15/10.1182_blood-2009-08-240556/4/zh89991051670001.jpeg?Expires=1748847908&Signature=Neu3Xm~FW4kI6hlvyXXjr~o6BqScimd0PHVuB1-MpfRwIloy~2oBURl-M22oMuSSsI8wOX4FFPQqPup8OdhicjokIvz5HiE5uIzDxcvFAuq4dgD1-3aA~s7qq0R~n6mZVDxhjqGUJWSLW~cu3VJgy8wpAVu4Ey-iKPzMi7z1B83-XySdptLI4~xL8aSbh9T8hYw~QWqpD6zweHn~82GtZ~cSXKNGpUHJSi6zuWLYy1kWBmFrPE56yd50umR3fi-7k9RtACNm51Ke6Zoq9obKrmPN8s5Z2CTRBdMS7z37An-mkqyNJULCF78RuTDqZSN-1ndedd63YDWMPz6IZDDCMQ__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
3.4. Hereditary Disorders: Recessive Autosomal,β-thalassemia and sickle cell disease (SCD),BCL11A,repression (gene editing),Cas9,Cas9,RNP electroporation,human (ex vivo),"Frangoul H, Altshuler D, Cappellini MD, et al. CRISPR-Cas9 Gene Editing for Sickle Cell Disease and β-Thalassemia. (2020)","https://doi.org/10.1056/NEJMoa2031054
",https://www.nejm.org/cms/10.1056/NEJMoa2031054/asset/522a91a8-647a-4f2b-9206-ecf2f202365c/assets/images/large/nejmoa2031054_f1.jpg
3.5. Neurodegenerative Diseases,Huntington's disease,HTT,repression,KRAB,ZFN-KRAB,AAV injection,Mice ([B6CBA-Tg(HDexon1)62Gpb/3J),"M. Garriga-Canut, et al. Synthetic zinc finger repressors reduce mutant huntingtin expression in the brain of R6/2 mice. (2012)",https://doi.org/10.1073/pnas.1206506109,https://www.pnas.org/cms/10.1073/pnas.1206506109/asset/4a1b8a83-bdec-4000-ba68-d3cc2ca6e7bd/assets/graphic/pnas.1206506s109fig01.jpeg
3.5. Neurodegenerative Diseases,Huntington's disease,HTT,repression,KRAB,ZFN,nucleofection,Q111/Q7 cell line,"Zeitler, B., Froelich, S., Marlen, K. et al. Allele-selective transcriptional repression of mutant HTT for the treatment of Huntington’s disease. (2019)",https://doi.org/10.1038/s41591-019-0478-3,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41591-019-0478-3/MediaObjects/41591_2019_478_Fig1_HTML.png?
3.5. Neurodegenerative Diseases,Prion diseases,Prnp,repression,CHARM,ZFP/TALE/dCas9,intravenously AAV injection (ZFN-CHARM),"C57BL/6N mice (ZFN-CHARM)
HEK293 (CRISPR-CHARM), N2a (CRISPR-CHARM, TALE-CHARM)
","dwin N. Neumann et al. ,Brainwide silencing of prion protein by AAV-mediated delivery of an engineered compact epigenetic editor. (2024)",https://doi.org/10.1126/science.ado7082,https://www.science.org/cms/10.1126/science.ado7082/asset/eaad9159-3414-4c11-bdfe-996cf3a254c8/assets/images/large/science.ado7082-fa.jpg
3.5. Neurodegenerative Diseases,Alzheimer's disease,MAPT,repression,KRAB,ZFP,AAV hippocampal injection,C57BL/6 mice,"Susanne Wegmann et al. ,Persistent repression of tau in the brain using engineered zinc finger protein transcription factors. (2021)",https://doi.org/10.1126/sciadv.abe1611,https://www.science.org/cms/10.1126/sciadv.abe1611/asset/033c96ed-cdc4-4e96-9be0-6f60d813813c/assets/graphic/abe1611-f1.jpeg
3.5. Neurodegenerative Diseases,Alzheimer's disease,"ADAM9, ADAM17 and TFEB",activation,VPR,dCas9,,,"Duarte, Fábio. Multiplexed CRISPR activation of neuroprotective genes for Alzheimer's Disease (2018)",https://estudogeral.uc.pt/handle/10316/86445,
3.5. Neurodegenerative Diseases,Parkinson's disease,"Ascl1, Lmx1a, Nr4a2",activation,SAM,intein-split-dCas9,AAV injection,Gfap-Cre mice,"Jessica Giehrl‐Schwab, Florian Giesert, et al. Parkinson's disease motor symptoms rescue by CRISPRa‐reprogramming astrocytes into GABAergic neurons. (2022)",https://doi.org/10.15252/emmm.202114797,https://www.embopress.org/cms/10.15252/emmm.202114797/asset/41175184-601d-45a9-b249-dfb3cad7b04e/assets/graphic/emmm202114797-abs-0001-m.png
3.5. Neurodegenerative Diseases,Parkinson's disease,GDNF,activation,SAM,SadCas9,magnetite vehicle meticulously,PD cell model,"Guzmán-Sastoque P, et al. Assessment of CRISPRa-mediated gdnf overexpression in an In vitro Parkinson's disease model. (2024)",https://doi.org/10.3389/fbioe.2024.1420183,https://www.frontiersin.org/files/Articles/1420183/fbioe-12-1420183-HTML-r1/image_m/fbioe-12-1420183-g001.jpg
3.5. Neurodegenerative Diseases,Parkinson's disease,Nrf2,activation,VP64,SadCas9,AAV1-injection,C57BL/6J,"Lau CH, Ho JW, Lo PK, Tin C. Targeted Transgene Activation in the Brain Tissue by Systemic Delivery of Engineered AAV1 Expressing CRISPRa. (2019)",https://doi.org/10.1016/j.omtn.2019.04.015,https://www.cell.com/cms/10.1016/j.omtn.2019.04.015/asset/eea47413-e3c0-4de3-84ab-092ac5012d9c/main.assets/fx1_lrg.jpg
3.5. Neurodegenerative Diseases,Inherited blindness,Opn1mw,activation,VPR,dCas9,rAAV injection,Rho +/−  mice,"Sybille Böhm et al. ,A gene therapy for inherited blindness using dCas9-VPR–mediated transcriptional activation. (2020)",https://doi.org/10.1126/sciadv.aba5614,https://www.science.org/cms/10.1126/sciadv.aba5614/asset/95148248-bf0d-4e55-895e-69074470e020/assets/graphic/aba5614-f1.jpeg
3.5. Neurodegenerative Diseases,Inherited blindness - Retinitis pigmentosa,Nrl,repression,KRAB,intein-split-dCas9,AAV injection,Nrl-GFP mice,"Moreno AM, Fu X, et al. In Situ Gene Therapy via AAV-CRISPR-Cas9-Mediated Targeted Gene Regulation. (2018)",https://doi.org/10.1016/j.ymthe.2018.04.017,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/5896/6035733/32a2b96f9f6c/gr1.jpg
3.6. Psychoneurological Conditions and Addictions,Alcohol use disorders,Arc,activation,p300,dCas9,lentiviral injection,Sprague-Dawley (SD) rats,"John Peyton Bohnsack et al. ,Targeted epigenomic editing ameliorates adult anxiety and excessive drinking after adolescent alcohol exposure. (2022)",https://doi.org/10.1126/sciadv.abn2748,https://www.science.org/cms/10.1126/sciadv.abn2748/asset/55861440-9f8a-4eec-a72f-d01a8d16a605/assets/images/large/sciadv.abn2748-f1.jpg
3.6. Psychoneurological Conditions and Addictions,Chronic pain,SCN9A,repression,KRAB,dCas9,AAV injection,C57BL/6J mice,"Ana M. Moreno et al. ,Long-lasting analgesia via targeted in situ repression of NaV1.7 in mice. (2021)",https://doi.org/10.1126/scitranslmed.aay9056,
3.6. Psychoneurological Conditions and Addictions,Epilepsy,Kcna1,activation,VP64,dCas9,AAV9,Male and female C57BL/6J and Camk2a-Cre mice,"Gaia Colasante, Yichen Qiu, et al. In vivo CRISPRa decreases seizures and rescues cognitive deficits in a rodent model of epilepsy. (2020)",https://doi.org/10.1093/brain/awaa045,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/brain/143/3/10.1093_brain_awaa045/3/m_awaa045f1.jpeg?Expires=1748854290&Signature=UncHptb0NeeIsWQXKG0T5RSYgNkr9wLFRtCC7ZBVQW9B5M5YWUmbQJ4zcCVL7P1ClH34EiW82rsqCjpcfM6pBs3NcBGNQFMrpmbxlbRW4cyHjR-g8sqiVg3zhhalQK6on2fx6aNBcbrccdoKIknU1IPqcrKS9I1yOfXxNEtqvGldtOszyqot7dmNrgnWDlzAzNPS7rvGmG86l2Dx8D9ex970xXt12p~JlAvTi3SRel1IJ-QP1ebS6uUdp0zy3pTgxJGt1VQzTg-vir0N6QucL3KIbu9qX0rORtRH5K2FWi7z85Z5~N8vq2OtHsjagRs~8Hxi2Sf7w2byWonPvluDcA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
3.7. Metabolic Diseases,Atherosclerosis,PCSK9,repression (gene editing),Cas9,Cas9,AAV injection,C57BL/6 mice,"Ding Q, Strong A, et al. Permanent alteration of PCSK9 with in vivo CRISPR-Cas9 genome editing. (2014)",https://doi.org/10.1161/circresaha.115.304351,https://www.ahajournals.org/cms/10.1161/CIRCRESAHA.115.304351/asset/75e61ffe-58aa-4b66-8304-e89c8cbc3a84/assets/graphic/488fig01.jpeg
3.7. Metabolic Diseases,Atherosclerosis,PCSK9,repression (base editing),nCas9,nCas9,mRNA-LNP,"Female C57BL/6J mice, Macaca fascicularis","Musunuru, K., Chadwick, A.C., Mizoguchi, T. et al. In vivo CRISPR base editing of PCSK9 durably lowers cholesterol in primates. (2021)",https://doi.org/10.1038/s41586-021-03534-y,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41586-021-03534-y/MediaObjects/41586_2021_3534_Fig1_HTML.png
3.7. Metabolic Diseases,Atherosclerosis,PCSK9,repression,KRAB,dSaCas9,AAV8 injection (2 vector - cas +sg),male C57Bl/6 mice,"Thakore, P.I., Kwon, J.B., Nelson, C.E. et al. RNA-guided transcriptional silencing in vivo with S. aureus CRISPR-Cas9 repressors. (2018)",https://doi.org/10.1038/s41467-018-04048-4,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41467-018-04048-4/MediaObjects/41467_2018_4048_Fig1_HTML.jpg?
3.7. Metabolic Diseases,Atherosclerosis,PCSK9,repression,KRAB,dSaCas9,AAV2/8 (1 vector) tail injection,Male C57BL/6 mice,"Backstrom JR, Sheng J, Wang MC, Bernardo-Colón A, Rex TS. Optimization of S. aureus dCas9 and CRISPRi Elements for a Single Adeno-Associated Virus that Targets an Endogenous Gene. (2020)",https://doi.org/10.1016/j.omtm.2020.09.001,https://www.cell.com/cms/10.1016/j.omtm.2020.09.001/asset/ed9417e5-3d4e-4fcb-a662-69875382396a/main.assets/fx1_lrg.jpg
3.7. Metabolic Diseases,Myocardial hypertrophy,Myh6,activation,VPR,dCas9,AAV9 hearts injection (TRISPR ),dCas9VPR  transgenic mice,"Schoger E, Carroll KJ, et al. CRISPR-Mediated Activation of Endogenous Gene Expression in the Postnatal Heart. (2020)",https://doi.org/10.1161/circresaha.118.314522,https://www.ahajournals.org/cms/10.1161/CIRCRESAHA.118.314522/asset/9a9a7257-e0b0-496e-94ba-ee25efb1be67/assets/graphic/6ga1.jpg
3.7. Metabolic Diseases,Enhancement of Skeletal Muscle Mass,Fst,activation,SAM,dCas9,AAV9 sgRNA tail vein injection,dCas9 transgenic mice,"Liao HK, et al. In Vivo Target Gene Activation via CRISPR/Cas9-Mediated Trans-epigenetic Modulation. (2017)",https://doi.org/10.1016/j.cell.2017.10.025,https://www.cell.com/cms/10.1016/j.cell.2017.10.025/asset/4c90254e-38e4-422d-9f8d-31452ee22bba/main.assets/fx1_lrg.jpg
3.7. Metabolic Diseases,Type 1 diabetes,Pdx1,activation,SAM,dCas9 ,AAV9 sgRNA tail vein injection,dCas9 transgenic mice,"Liao HK, et al. In Vivo Target Gene Activation via CRISPR/Cas9-Mediated Trans-epigenetic Modulation. (2017)",https://doi.org/10.1016/j.cell.2017.10.025,https://www.cell.com/cms/10.1016/j.cell.2017.10.025/asset/4c90254e-38e4-422d-9f8d-31452ee22bba/main.assets/fx1_lrg.jpg
3.8. Acute Organ Injury and Fibrosis,Fibrosis,"Rasal1, Klotho",activation,dCas9(HF)-TET3CD,dCas9(HF)-TET3CD,lentiviral injection,Rasal1tm1a mice,"Xu, X., Tan, X., Tampe, B. et al. High-fidelity CRISPR/Cas9- based gene-specific hydroxymethylation rescues gene expression and attenuates renal fibrosis. (2016)",https://doi.org/10.1038/s41467-018-05766-5,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41467-018-05766-5/MediaObjects/41467_2018_5766_Fig1_HTML.png?
3.8. Acute Organ Injury and Fibrosis,Fibrosis,Klotho,activation,SAM,dCas9,AAV9 sgRNA tail vein injection,dCas9 transgenic mice,"Liao HK, et al. In Vivo Target Gene Activation via CRISPR/Cas9-Mediated Trans-epigenetic Modulation. (2017)",https://doi.org/10.1016/j.cell.2017.10.025,https://www.cell.com/cms/10.1016/j.cell.2017.10.025/asset/4c90254e-38e4-422d-9f8d-31452ee22bba/main.assets/fx1_lrg.jpg
3.9. Normal and Accelerated Aging,Aging,"PDE4C, FHL2, ELOVL2, KLF14, TEAD1",repression,"DNMT3A, CRISPRoff (DNMT3A-DNMT3L-KRAB))",dCas9,transfection,HEK293T,"Sven Liesenfelder, et al. Epigenetic editing at individual age-associated CpGs affects the genome-wide epigenetic aging landscape. (2024)",https://doi.org/10.1101/2024.06.04.597161,https://www.biorxiv.org/content/biorxiv/early/2024/06/05/2024.06.04.597161/F1.medium.gif
3.9. Normal and Accelerated Aging,Hutchinson-Gilford progeria ,Oct4,activation,SAM,dCas9,AuNPs/PEI nanocomplexes,C57BL/6 male mice,"Kim J, Hwang Y, Kim S, et al. Transcriptional activation of endogenous Oct4 via the CRISPR/dCas9 activator ameliorates Hutchinson-Gilford progeria syndrome in mice. (2023)",https://doi.org/10.1111/acel.13825,https://onlinelibrary.wiley.com/cms/asset/6c298579-343d-4aa8-959d-fb5f00ffe85b/acel13825-fig-0001-m.png
3.10. Oncological Diseases,cancer ,"MASPIN, REPRIMO",activation,"VP64, VPR, p300",dCas9,Transfection,"HEK293T, H157, MCF7, SUM159","Garcia-Bloj B, et al. Waking up dormant tumor suppressor genes with zinc fingers, TALEs and the CRISPR/dCas9 system. (2016)",https://doi.org/10.18632/oncotarget.11142,https://www.oncotarget.com/index.php?journal=oncotarget&page=article&op=viewFile&path%5B%5D=11142&path%5B%5D=44879&path%5B%5D=210025
3.10. Oncological Diseases,cancer ,"MYOD, IL1RN",activation,p300,dLbCpf1,Transfection,"U2OS, MCF7","Zhang, X., Wang, W., Shan, L. et al. Gene activation in human cells using CRISPR/Cpf1-p300 and CRISPR/Cpf1-SunTag systems. (2018)",https://doi.org/10.1007/s13238-017-0491-6,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/proteincell/9/4/10.1007_s13238-017-0491-6/2/m_13238_2017_491_fig1_html.gif?Expires=1748266788&Signature=34ti~lM0etBloIJtv8o7BIy7RZwNATj1bVRVBmHdMaRXANIPeTLjguU1UXeqwchaHc72-yuB-bSC0zkn9niUwgTpId8E6iG7fiKJYJIT2jrR06zvyux6PddzwyCm1YXdR~HbBD5NxlYAlJJti-3PmYD0C8WvD-LzojYtWbNGVQ260rSCWHrun~4PU93kEA4Q~i~WE7KMKTUPHvRlMaZDFBKuwMgjIy37XOYaMoFJLoNDAMZC4nxEWUToDmpXmboqOSJ3yWn1Bg0nFGU7urrHBpZFMnZTcJ0Yy9T~JPO42pFza5OhQiejdeOPGs9bsFJhkoKE~f9ZVf3pUnRGaBk6~A__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
3.10. Oncological Diseases,cancer ,BRCA1,activation,TET1CD,dCas9,Transfection,"MCF7, HeLa ","Choudhury SR, Cui Y, Lubecka K, Stefanska B, Irudayaraj J. CRISPR-dCas9 mediated TET1 targeting for selective DNA demethylation at BRCA1 promoter. (2016)",https://doi.org/10.18632/oncotarget.10234,https://www.oncotarget.com/index.php?journal=oncotarget&page=article&op=viewFile&path%5B%5D=10234&path%5B%5D=32664&path%5B%5D=157735
3.11. Viral Diseases,Hepatitis B,Hbx,repression,KRAB,ZFP,Ca-P-transfection,Hep3B,"Zhao X, Zhao Z, Guo J, et al. Creation of a six-fingered artificial transcription factor that represses the hepatitis B virus HBx gene integrated into a human hepatocellular carcinoma cell line. (2013)",https://doi.org/10.1177/1087057112463066,https://journals.sagepub.com/cms/10.1177/1087057112463066/asset/49d35854-7ace-4074-bc4a-aec07394fdcc/assets/images/large/10.1177_1087057112463066-fig1.jpg
3.11. Viral Diseases,Hepatitis B,EnhI region,repression,KRAB,ZFP,Plasmid injection,C57BL/6-HBV-1.3 mice,"Luo W, Wang J, Xu D, Bai H, Zhang Y, Zhang Y, Li X. Engineered zinc-finger transcription factors inhibit the replication and transcription of HBV in vitro and in vivo. (2018)",https://doi.org/10.3892/ijmm.2018.3396,https://www.spandidos-publications.com/article_images/ijmm/41/4/IJMM-41-04-2169-g00.jpg
3.11. Viral Diseases,Hepatitis B,X protein,repression,DNMT3A,ZFP,injection,M-TgHBV mice,"Xirong, L., Rui, L., Xiaoli, Y. et al. Hepatitis B virus can be inhibited by DNA methyltransferase 3a via specific zinc-finger-induced methylation of the X promoter. (2014)",https://doi.org/10.1134/S0006297914020047,http://protein.bio.msu.ru/biokhimiya/contents/v79/full/79020154Fig1.gif
3.11. Viral Diseases,Hepatitis B,"Surface protein, Pol",repression,KRAB,TALE,hydrodynamic injection,NMRI mice,"Bloom, K., Kaldine, H., Cathomen, T. et al. Inhibition of replication of hepatitis B virus using transcriptional repressors that target the viral DNA. (2019)",https://doi.org/10.1186/s12879-019-4436-y,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs12879-019-4436-y/MediaObjects/12879_2019_4436_Fig1_HTML.png
